Unix Timestamp, Local Time yyyy-mm-dd hh:mm:ss, Activity
1773773105816, 2026-03-17 11:45:05, start walking
1773773120992, 2026-03-17 11:45:20, end walking
1773773901048, 2026-03-17 11:58:21, start walking
1773774102452, 2026-03-17 12:01:42, end walking
1773774113940, 2026-03-17 12:01:53, start walking
1773776285494, 2026-03-17 12:38:05, end walking
1773776431501, 2026-03-17 12:40:31, study
1773778190596, 2026-03-17 13:09:50, end study
1773778200098, 2026-03-17 13:10:00, start eating
1773779597974, 2026-03-17 13:33:17, end eating
1773779655183, 2026-03-17 13:34:15, start study
1773786239596, 2026-03-17 15:23:59, end study
1773786460322, 2026-03-17 15:27:40, start playing on the phone
1773786888758, 2026-03-17 15:34:48, end play
1773786902557, 2026-03-17 15:35:02, start walking
1773790552420, 2026-03-17 16:35:52, end walking
1773790559697, 2026-03-17 16:35:59, start study
1773794626751, 2026-03-17 17:43:46, end stduy
1773794634446, 2026-03-17 17:43:54, start eating
1773806392880, 2026-03-17 20:59:52, start study
1773817463614, 2026-03-18 00:04:23, end study
1773817472323, 2026-03-18 00:04:32, start talking
1773862378724, 2026-03-18 12:32:58, start study
1773864269050, 2026-03-18 13:04:29, end study
1773864273272, 2026-03-18 13:04:33, start eating
1773867586359, 2026-03-18 13:59:46, end eating
1773867592365, 2026-03-18 13:59:52, start walking
1773889608106, 2026-03-18 20:06:48, eat
1773892585247, 2026-03-18 20:56:25, end eating
1773894161463, 2026-03-18 21:22:41, start study
1773897517583, 2026-03-18 22:18:37, end studying
1773897547934, 2026-03-18 22:19:07, start driving
1773899554964, 2026-03-18 22:52:34, end driving
1773899607718, 2026-03-18 22:53:27, start study
1773937188597, 2026-03-19 09:19:48, start taking the bus
1773938920367, 2026-03-19 09:48:40, end taking the bus
1773938926658, 2026-03-19 09:48:46, start walking
1773940604029, 2026-03-19 10:16:44, end walking
1773940608534, 2026-03-19 10:16:48, start working
1773949935260, 2026-03-19 12:52:15, start eating
1773953042699, 2026-03-19 13:44:02, start working
